,instructor_id,instructor,active
0,1,Pete Alonzi,True
1,2,Jeffrey Woo,True
2,3,Judy Fox,True
3,4,Jeremy Bolton,False
4,5,Bill Basener,True
5,6,Marc Ruggiano,True
6,7,Adam Tashman,True
7,8,Sree Mallikarjun,True
8,9,Eric Tassone,True
9,10,"Jeremy Bolton, Peter Gedeck, Eric Tassone, Abbas Kazemipour, Cait Dreisbach, Lei Xie",True
10,11,Bill Basener,True
11,12,Renee Cummings,True
12,13,Stephen Baek,True
13,14,Raf Alvarado & Teague Henry,True
14,15,Rich Nguyen,True
15,16,Jon Kropko,True
16,17,Nada Basit,True
17,18,Panagiotis Apostolellis,True
18,19,Mike Porter,True
19,20,Luis Felipe Rosado Murillo,False
20,21,Jason Williamson,True
21,22,Eric Field,True
